SN,Food（100 g）,Food（100 g）,Fiber， total dietary（单位：g）,Water（单位：g）,Protein（单位：g）,Sugars， total（单位：g）,Carbohydrate， by difference（单位：g）,Energy（单位：kcal）,Total lipid (fat)（单位：g）,Sodium， Na（单位：mg）,Potassium， K（单位：mg）,Zinc， Zn（单位：mg）,Iron， Fe（单位：mg）,Calcium， Ca（单位：mg）,Magnesium， Mg（单位：mg）,Phosphorus， P（单位：mg）,Vitamin D (D2 + D3)（单位：&micro;g）,Vitamin C， total ascorbic acid（单位：mg）,Vitamin B-6（单位：mg）,Vitamin A， RAE（单位：&micro;g）,Vitamin B-12（单位：&micro;g）,Folate， DFE（单位：&micro;g）,Niacin（单位：mg）,Riboflavin（单位：mg）,Thiamin（单位：mg）,Vitamin E (alpha-tocopherol)（单位：mg）,Vitamin K (phylloquinone)（单位：&micro;g）,Vitamin A， IU（单位：IU）,Vitamin D（单位：IU）,Cholesterol（单位：mg）,Fatty acids， total saturated（单位：g）,Fatty acids， total monounsaturated（单位：g）,Fatty acids， total trans（单位：g）,Fatty acids， total polyunsaturated（单位：g）,Caffeine（单位：mg）,URL,Category
14647,Fruit flavored drink， reduced sugar， greater than 3% fruit juice， high vitamin C， added calcium,水果味饮料，糖减少，大于3％的果汁，高维生素C，补充钙剂,0,93,0,5,6.67,29,0.37,25,31,0.04,0,42,1,0,0.3,25,0,0,0,2,0,0,0,0,0,3,10,0,0,0,0,0,0,http://ndb.nal.usda.gov/ndb/foods/show/4451,Beverages
14648,Fruit juice drink， greater than 3% fruit juice， high vitamin C and added thiamin,果汁饮料，大于3％的果汁，高维生素C和添加硫胺,0.1,86.39,0.13,12.11,13.16,54,0,61,122,0.04,0.25,3,5,7,0,25.4,0.032,5,0,0,0.036,0.014,0.095,0.05,0,17,0,0,0,0,n/a,0,0,http://ndb.nal.usda.gov/ndb/foods/show/4452,Beverages
14651,Fruit juice drink， greater than 3% juice， high vitamin C,果汁饮料，大于3％的果汁，维生素C??高,0.1,88.1,0.13,10.69,11.35,46,0.11,8,122,0.04,0.25,3,5,7,0,25,0.032,5,0,0,0.036,0.014,0.003,0.05,0,17,0,0,0.017,0.002,0,0.03,0,http://ndb.nal.usda.gov/ndb/foods/show/4454,Beverages
14654,Beverages， nutritional shake mix， high protein， powder,饮料，营养搭配抖动，高蛋白质，粉,0,8.3,53.57,3.57,20.38,392,10.71,1214,1000,18.75,22.5,714,500,1429,12.5,75,2.5,1875,6.43,971,25,2.125,2.143,16.88,125,6250,500,0,0,2.907,0,7.268,0,http://ndb.nal.usda.gov/ndb/foods/show/4455,Beverages
15001,Fish， anchovy， european， raw,鱼，凤尾鱼，欧洲，原料,0,73.37,20.35,0,0,131,4.84,104,383,1.72,3.25,147,41,174,n/a,0,0.143,15,0.62,9,14.024,0.256,0.055,0.57,0.1,50,n/a,60,1.282,1.182,n/a,1.637,0,http://ndb.nal.usda.gov/ndb/foods/show/4456,Finfish and Shellfish Products
15002,Fish， anchovy， european， canned in oil， drained solids,鱼，凤尾鱼，欧洲，罐装油，排出物,0,50.3,28.89,0,0,210,9.71,3668,544,2.44,4.63,232,69,252,1.7,0,0.203,12,0.88,13,19.903,0.363,0.078,3.33,12.1,40,69,85,2.203,3.77,n/a,2.562,0,http://ndb.nal.usda.gov/ndb/foods/show/4457,Finfish and Shellfish Products
15003,Fish， bass， fresh water， mixed species， raw,鱼，鲈鱼，淡水，混种，生,0,75.66,18.86,n/a,0,114,3.69,70,356,0.65,1.49,80,30,200,n/a,2,0.12,30,2,15,1.25,0.074,0.075,n/a,n/a,100,n/a,68,0.78,1.431,n/a,1.062,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4458,Finfish and Shellfish Products
15004,Fish， bass， striped， raw,鱼，鲈鱼，条纹，生,0,79.22,17.73,n/a,0,97,2.33,69,256,0.4,0.84,15,40,198,n/a,0,0.3,27,3.82,9,2.1,0.03,0.1,n/a,n/a,90,n/a,80,0.507,0.66,n/a,0.784,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4459,Finfish and Shellfish Products
15005,Fish， bluefish， raw,鱼，竹荚鱼，生,0,70.86,20.04,n/a,0,124,4.24,60,372,0.81,0.48,7,33,227,n/a,0,0.402,120,5.39,2,5.95,0.08,0.058,n/a,n/a,398,n/a,59,0.915,1.793,n/a,1.06,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4460,Finfish and Shellfish Products
15006,Fish， burbot， raw,鱼，江鳕，生,0,79.26,19.31,n/a,0,90,0.81,97,404,0.76,0.9,50,32,200,n/a,0,0.3,5,0.8,1,1.62,0.141,0.372,n/a,n/a,15,n/a,60,0.163,0.133,n/a,0.297,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4461,Finfish and Shellfish Products
15007,Fish， butterfish， raw,鱼，鲳鱼，原料,0,74.13,17.28,n/a,0,146,8.02,89,375,0.77,0.5,22,25,240,n/a,0,0.3,30,1.9,15,4.5,0.15,0.12,n/a,n/a,100,n/a,65,3.38,3.38,n/a,0.59,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4462,Finfish and Shellfish Products
15008,Fish， carp， raw,鱼，鲤鱼，生,0,76.31,17.83,0,0,127,5.6,49,333,1.48,1.24,41,29,415,24.7,1.6,0.19,9,1.53,15,1.64,0.055,0.115,0.63,0.1,30,988,66,1.083,2.328,n/a,1.431,0,http://ndb.nal.usda.gov/ndb/foods/show/4463,Finfish and Shellfish Products
15009,Fish， carp， cooked， dry heat,鱼，鲤鱼，煮熟，干热,0,69.63,22.86,n/a,0,162,7.17,63,427,1.9,1.59,52,38,531,n/a,1.6,0.219,10,1.47,17,2.1,0.07,0.14,n/a,n/a,32,n/a,84,1.388,2.985,n/a,1.835,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4464,Finfish and Shellfish Products
15010,Fish， catfish， channel， wild， raw,鱼，鲶鱼，渠道，野，生,0,80.36,16.38,n/a,0,95,2.82,43,358,0.51,0.3,14,23,209,12.5,0.7,0.116,15,2.23,10,1.907,0.072,0.21,n/a,n/a,50,500,58,0.722,0.844,n/a,0.865,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4465,Finfish and Shellfish Products
15011,Fish， catfish， channel， cooked， breaded and fried,鱼，鲶鱼，渠道，煮熟，面包屑和炒,0.7,58.81,18.09,n/a,8.04,229,13.33,280,340,0.86,1.43,44,27,216,n/a,0,0.19,8,1.9,39,2.282,0.133,0.073,n/a,n/a,28,n/a,71,3.288,5.611,n/a,3.325,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4466,Finfish and Shellfish Products
15012,Fish， caviar， black and red， granular,鱼，鱼子酱，黑色和红色，颗粒状,0,47.5,24.6,0,4,264,17.9,1500,181,0.95,11.88,275,300,356,2.9,0,0.32,271,20,50,0.12,0.62,0.19,1.89,0.6,905,117,588,4.06,4.631,n/a,7.405,0,http://ndb.nal.usda.gov/ndb/foods/show/4467,Finfish and Shellfish Products
15013,Fish， cisco， raw,鱼，思科，生,0,78.93,18.99,n/a,0,98,1.91,55,354,0.37,0.4,12,17,152,n/a,0,0.3,30,1,15,2.51,0.1,0.088,n/a,n/a,100,n/a,50,0.421,0.469,n/a,0.613,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4468,Finfish and Shellfish Products
15014,Fish， cisco， smoked,鱼，思科，熏,0,69.8,16.36,0,0,177,11.9,481,293,0.3,0.49,26,17,150,13.3,0,0.268,283,4.26,2,2.31,0.159,0.046,0.22,0.1,943,530,32,1.741,5.484,n/a,2.274,0,http://ndb.nal.usda.gov/ndb/foods/show/4469,Finfish and Shellfish Products
15015,Fish， cod， Atlantic， raw,鱼，鳕鱼，大西洋，原料,0,81.22,17.81,0,0,82,0.67,54,413,0.45,0.38,16,32,203,0.9,1,0.245,12,0.91,7,2.063,0.065,0.076,0.64,0.1,40,36,43,0.131,0.094,n/a,0.231,0,http://ndb.nal.usda.gov/ndb/foods/show/4470,Finfish and Shellfish Products
15016,Fish， cod， Atlantic， cooked， dry heat,鱼，鳕鱼，大西洋，煮熟，干热,0,75.92,22.83,0,0,105,0.86,78,244,0.58,0.49,14,42,138,1.2,1,0.283,14,1.05,8,2.513,0.079,0.088,0.81,0.1,47,46,55,0.168,0.124,n/a,0.292,0,http://ndb.nal.usda.gov/ndb/foods/show/4471,Finfish and Shellfish Products
15017,Fish， cod， Atlantic， canned， solids and liquid,鱼，鳕鱼，大西洋，罐头，固体和液体,0,75.61,22.76,0,0,105,0.86,218,528,0.58,0.49,21,41,260,1.2,1,0.282,14,1.05,8,2.505,0.079,0.087,0.82,0.1,47,47,55,0.167,0.124,n/a,0.291,0,http://ndb.nal.usda.gov/ndb/foods/show/4472,Finfish and Shellfish Products
15018,Fish， cod， Atlantic， dried and salted,鱼，鳕鱼，大西洋，干燥，盐腌,0,16.14,62.82,0,0,290,2.37,7027,1458,1.59,2.5,160,133,950,4,3.5,0.864,42,10,25,7.5,0.24,0.268,2.84,0.4,140,161,152,0.462,0.342,n/a,0.804,0,http://ndb.nal.usda.gov/ndb/foods/show/4473,Finfish and Shellfish Products
15019,Fish， cod， Pacific， raw,鱼，鳕鱼，太平洋，生,0,83.95,15.27,0,0,69,0.41,303,235,0.31,0.16,8,20,281,0.5,0,0.117,2,1.98,7,1.095,0.045,0.033,0.54,0,6,20,47,0.085,0.073,0.005,0.164,0,http://ndb.nal.usda.gov/ndb/foods/show/4474,Finfish and Shellfish Products
15020,Fish， croaker， Atlantic， raw,鱼，黄花鱼，大西洋，原料,0,78.03,17.78,0,0,104,3.17,56,345,0.42,0.37,15,40,210,0.7,0,0.3,12,2.5,15,4.2,0.095,0.075,1.29,0.1,41,27,61,1.088,1.149,n/a,0.464,0,http://ndb.nal.usda.gov/ndb/foods/show/4475,Finfish and Shellfish Products
15021,Fish， croaker， Atlantic， cooked， breaded and fried,鱼，黄花鱼，大西洋，熟食，面包和炸,0.4,59.76,18.2,n/a,7.54,221,12.67,348,340,0.52,0.86,32,42,217,n/a,0,0.26,23,2.1,45,4.3,0.13,0.09,n/a,n/a,75,n/a,84,3.476,5.32,n/a,2.917,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4476,Finfish and Shellfish Products
15022,Fish， cusk， raw,鱼，cusk，生,0,76.35,18.99,n/a,0,87,0.69,31,392,0.38,0.83,10,31,204,n/a,0,0.387,18,1.04,2,2.686,0.133,0.042,n/a,n/a,60,n/a,41,0.13,0.09,n/a,0.28,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4477,Finfish and Shellfish Products
15023,Fish， dolphinfish， raw,鱼，鲯鳅，生,0,77.55,18.5,n/a,0,85,0.7,88,416,0.46,1.13,15,30,143,n/a,0,0.4,54,0.6,5,6.1,0.07,0.02,n/a,n/a,180,n/a,73,0.188,0.121,n/a,0.165,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4478,Finfish and Shellfish Products
15024,Fish， drum， freshwater， raw,鱼，鼓，淡水，原料,0,77.33,17.54,n/a,0,119,4.93,75,275,0.66,0.9,60,30,180,n/a,1,0.3,51,2,15,2.35,0.17,0.07,n/a,n/a,170,n/a,64,1.119,2.19,n/a,1.154,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4479,Finfish and Shellfish Products
15025,Fish， eel， mixed species， raw,鱼，鳗鱼，混种，生,0,68.26,18.44,0,0,184,11.66,51,272,1.62,0.5,20,20,216,23.3,1.8,0.067,1043,3,15,3.5,0.04,0.15,4,0,3477,932,126,2.358,7.19,n/a,0.947,0,http://ndb.nal.usda.gov/ndb/foods/show/4480,Finfish and Shellfish Products
15026,Fish， eel， mixed species， cooked， dry heat,鱼，鳗鱼，混种，熟，干热,0,59.31,23.65,n/a,0,236,14.95,65,349,2.08,0.64,26,26,277,n/a,1.8,0.077,1137,2.89,17,4.487,0.051,0.183,n/a,n/a,3787,n/a,161,3.023,9.218,n/a,1.214,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4481,Finfish and Shellfish Products
15027,Fish， fish sticks， frozen， prepared,鱼，鱼条，冷冻，准备,1.5,49.5,11.01,1.65,21.66,277,16.23,402,185,0.42,0.84,16,25,191,0,0,0.078,4,0.96,24,1.536,0.116,0.122,6.88,4.7,18,1,28,3.733,3.193,0.124,7.824,0,http://ndb.nal.usda.gov/ndb/foods/show/4482,Finfish and Shellfish Products
15028,Fish， flatfish (flounder and sole species)， raw,鱼，比目鱼（牙鲆和唯一的物种），原料,0,84.63,12.41,0,0,70,1.93,296,160,0.32,0.18,21,18,252,2.8,0,0.098,10,1.13,5,1.04,0.02,0.022,0.63,0.1,33,113,45,0.441,0.535,0.011,0.374,0,http://ndb.nal.usda.gov/ndb/foods/show/4483,Finfish and Shellfish Products
15029,Fish， flatfish (flounder and sole species)， cooked， dry heat,鱼，比目鱼（牙鲆和唯一的物种），煮熟，干热,0,81.11,15.24,0,0,86,2.37,363,197,0.39,0.23,25,22,309,3.5,0,0.115,12,1.31,6,1.278,0.025,0.026,0.77,0.1,37,139,56,0.542,0.657,0.014,0.459,0,http://ndb.nal.usda.gov/ndb/foods/show/4484,Finfish and Shellfish Products
15030,Fish， gefiltefish， commercial， sweet recipe,鱼，gefiltefish，商业，甜的食谱,0,80.35,9.07,n/a,7.41,84,1.73,524,91,0.82,2.48,23,9,73,n/a,0.8,0.08,27,0.84,3,1,0.059,0.065,n/a,n/a,89,n/a,30,0.412,0.824,n/a,0.285,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4485,Finfish and Shellfish Products
15031,Fish， grouper， mixed species， raw,鱼，石斑鱼，混种，生,0,79.22,19.38,n/a,0,92,1.02,53,483,0.48,0.89,27,31,162,n/a,0,0.3,43,0.6,9,0.313,0.005,0.07,n/a,n/a,143,n/a,37,0.233,0.202,n/a,0.321,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4486,Finfish and Shellfish Products
15032,Fish， grouper， mixed species， cooked， dry heat,鱼，石斑鱼，混种，熟，干热,0,73.36,24.84,n/a,0,118,1.3,53,475,0.51,1.14,21,37,143,n/a,0,0.35,50,0.69,10,0.381,0.006,0.081,n/a,n/a,165,n/a,47,0.299,0.268,n/a,0.403,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4487,Finfish and Shellfish Products
15033,Fish， haddock， raw,鱼，黑线鳕，生,0,83.38,16.32,0,0,74,0.45,213,286,0.32,0.17,11,21,227,0.5,0,0.281,17,1.83,12,3.363,0.057,0.02,0.45,0.1,57,18,54,0.091,0.061,0.004,0.166,0,http://ndb.nal.usda.gov/ndb/foods/show/4488,Finfish and Shellfish Products
15034,Fish， haddock， cooked， dry heat,鱼，鳕鱼，煮熟，干热,0,79.65,19.99,0,0,90,0.55,261,351,0.4,0.21,14,26,278,0.6,0,0.327,21,2.13,13,4.119,0.069,0.023,0.55,0.1,62,23,66,0.111,0.074,0.005,0.204,0,http://ndb.nal.usda.gov/ndb/foods/show/4489,Finfish and Shellfish Products
15035,Fish， haddock， smoked,鱼，鳕鱼，烟熏,0,71.48,25.23,0,0,116,0.96,763,415,0.5,1.4,49,54,251,0.8,0,0.4,24,1.6,15,5.073,0.049,0.047,0.55,0.1,80,34,77,0.173,0.157,n/a,0.321,0,http://ndb.nal.usda.gov/ndb/foods/show/4490,Finfish and Shellfish Products
15036,Fish， halibut， Atlantic and Pacific， raw,鱼，大比目鱼，大西洋和太平洋，生,0,80.34,18.56,0,0,91,1.33,68,435,0.36,0.16,7,23,236,4.7,0,0.548,20,1.1,12,6.513,0.03,0.05,0.61,0,67,190,49,0.292,0.471,n/a,0.29,0,http://ndb.nal.usda.gov/ndb/foods/show/4491,Finfish and Shellfish Products
15037,Fish， halibut， Atlantic and Pacific， cooked， dry heat,鱼，大比目鱼，大西洋和太平洋，煮熟，干热,0,76.12,22.54,0,0,111,1.61,82,528,0.43,0.2,9,28,287,5.8,0,0.632,24,1.27,14,7.911,0.036,0.058,0.74,0,73,231,60,0.354,0.573,0.028,0.352,0,http://ndb.nal.usda.gov/ndb/foods/show/4492,Finfish and Shellfish Products
15038,Fish， halibut， Greenland， raw,鱼，大比目鱼，格陵兰岛，生,0,70.27,14.37,0,0,186,13.84,80,268,0.4,0.66,3,26,164,27.4,0,0.42,14,1,1,1.5,0.08,0.06,0.73,0.1,47,1097,46,2.419,8.378,n/a,1.367,0,http://ndb.nal.usda.gov/ndb/foods/show/4493,Finfish and Shellfish Products
15039,Fish， herring， Atlantic， raw,鱼，鲱鱼，大西洋，原料,0,72.05,17.96,0,0,158,9.04,90,327,0.99,1.1,57,32,236,4.2,0.7,0.302,28,13.67,10,3.217,0.233,0.092,1.07,0.1,93,167,60,2.04,3.736,n/a,2.133,0,http://ndb.nal.usda.gov/ndb/foods/show/4494,Finfish and Shellfish Products
15040,Fish， herring， Atlantic， cooked， dry heat,鱼，鲱鱼，大西洋，煮熟，干热,0,64.16,23.03,0,0,203,11.59,115,419,1.27,1.41,74,41,303,5.4,0.7,0.348,36,13.14,12,4.124,0.299,0.112,1.37,0.1,120,214,77,2.615,4.79,n/a,2.735,0,http://ndb.nal.usda.gov/ndb/foods/show/4495,Finfish and Shellfish Products
15041,Fish， herring， Atlantic， pickled,鱼，鲱鱼，大西洋，腌渍,0,55.22,14.19,7.71,9.64,262,18,870,69,0.53,1.22,77,8,89,2.8,0,0.17,258,4.27,2,3.3,0.139,0.036,1.71,0.2,860,113,13,2.381,11.947,n/a,1.679,0,http://ndb.nal.usda.gov/ndb/foods/show/4496,Finfish and Shellfish Products
15042,Fish， herring， Atlantic， kippered,鱼，鲱鱼，大西洋，kippered,0,59.7,24.58,0,0,217,12.37,918,447,1.36,1.51,84,46,325,2.2,1,0.413,40,18.7,14,4.402,0.319,0.126,1.54,0.1,135,86,82,2.791,5.112,n/a,2.919,0,http://ndb.nal.usda.gov/ndb/foods/show/4497,Finfish and Shellfish Products
15043,Fish， herring， Pacific， raw,鱼，鲱鱼，太平洋，生,0,71.52,16.39,n/a,0,195,13.88,74,423,0.53,1.12,83,32,228,n/a,0,0.45,32,10,5,2.2,0.2,0.06,n/a,n/a,106,n/a,77,3.257,6.872,n/a,2.423,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4498,Finfish and Shellfish Products
15044,Fish， ling， raw,鱼，凌，原料,0,79.63,18.99,n/a,0,87,0.64,135,379,0.78,0.65,34,63,198,n/a,0,0.304,30,0.56,7,2.3,0.19,0.11,n/a,n/a,100,n/a,40,0.12,0.09,n/a,0.22,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4499,Finfish and Shellfish Products
15045,Fish， lingcod， raw,鱼，lingcod，生,0,81.03,17.66,n/a,0,85,1.06,59,437,0.45,0.32,14,26,201,n/a,0,0.3,15,3.6,9,1.9,0.114,0.03,n/a,n/a,50,n/a,52,0.197,0.35,n/a,0.3,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4500,Finfish and Shellfish Products
15046,Fish， mackerel， Atlantic， raw,鱼，鲭鱼，大西洋，原料,0,63.55,18.6,0,0,205,13.89,90,314,0.63,1.63,12,76,217,16.1,0.4,0.399,50,8.71,1,9.08,0.312,0.176,1.52,5,167,643,70,3.257,5.456,n/a,3.35,0,http://ndb.nal.usda.gov/ndb/foods/show/4501,Finfish and Shellfish Products
15047,Fish， mackerel， Atlantic， cooked， dry heat,鱼，鲭鱼，大西洋，煮熟，干热,0,53.27,23.85,n/a,0,262,17.81,83,401,0.94,1.57,15,97,278,n/a,0.4,0.46,54,19,2,6.85,0.412,0.159,n/a,n/a,180,n/a,75,4.176,7.006,n/a,4.3,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4502,Finfish and Shellfish Products
15048,Fish， mackerel， jack， canned， drained solids,鱼，鲭鱼，千斤顶，罐头，排水固体,0,69.17,23.19,0,0,156,6.3,379,194,1.02,2.04,241,37,301,7.3,0.9,0.21,130,6.94,5,6.18,0.212,0.04,1.03,0.1,433,292,79,1.857,2.225,n/a,1.651,0,http://ndb.nal.usda.gov/ndb/foods/show/4503,Finfish and Shellfish Products
15049,Fish， mackerel， king， raw,鱼，鲭鱼，王生,0,75.85,20.28,n/a,0,105,2,158,435,0.56,1.78,31,32,248,n/a,1.6,0.442,218,15.6,8,8.59,0.476,0.1,n/a,n/a,727,n/a,53,0.363,0.764,n/a,0.46,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4504,Finfish and Shellfish Products
15050,Fish， mackerel， Pacific and jack， mixed species， raw,鱼，鲭鱼，太平洋和杰克，混种，生,0,70.15,20.07,0,0,158,7.89,86,406,0.67,1.16,23,28,125,9.1,2,0.33,19,4.4,2,8.32,0.421,0.111,1,0.1,62,366,47,2.247,2.629,n/a,1.94,0,http://ndb.nal.usda.gov/ndb/foods/show/4505,Finfish and Shellfish Products
15051,Fish， mackerel， spanish， raw,鱼，鲭鱼，西班牙语，原料,0,71.67,19.29,0,0,139,6.3,59,446,0.49,0.44,11,33,205,7.3,1.6,0.4,39,2.4,1,2.3,0.17,0.13,0.69,0.1,130,292,76,1.828,1.53,n/a,1.739,0,http://ndb.nal.usda.gov/ndb/foods/show/4506,Finfish and Shellfish Products
15052,Fish， mackerel， spanish， cooked， dry heat,鱼，鲭鱼，西班牙语，煮熟，干热,0,68.46,23.59,n/a,0,158,6.32,66,554,0.62,0.74,13,38,271,n/a,1.6,0.46,33,7,1,5,0.21,0.13,n/a,n/a,109,n/a,73,1.801,2.139,n/a,1.805,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4507,Finfish and Shellfish Products
15053,Fish， milkfish， raw,鱼，虱目鱼，生,0,70.85,20.53,n/a,0,148,6.73,72,292,0.82,0.32,51,30,162,n/a,0,0.423,30,3.4,16,6.44,0.054,0.013,n/a,n/a,100,n/a,52,1.66,2.58,n/a,1.84,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4508,Finfish and Shellfish Products
15054,Fish， monkfish， raw,鱼，安康鱼，生,0,83.24,14.48,n/a,0,76,1.52,18,400,0.41,0.32,8,21,200,n/a,1,0.24,12,0.9,7,2.1,0.06,0.025,n/a,n/a,40,n/a,25,0.34,0.24,n/a,0.61,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4509,Finfish and Shellfish Products
15055,Fish， mullet， striped， raw,鱼，鲻鱼，条纹，生,0,77.01,19.35,0,0,117,3.79,65,357,0.52,1.02,41,29,221,1.5,1.2,0.425,37,0.22,9,5.2,0.08,0.09,1,0.1,123,61,49,1.116,1.078,n/a,0.715,0,http://ndb.nal.usda.gov/ndb/foods/show/4510,Finfish and Shellfish Products
15056,Fish， mullet， striped， cooked， dry heat,鱼，鲻鱼，条纹，煮熟，干热,0,70.52,24.81,n/a,0,150,4.86,71,458,0.88,1.41,31,33,244,n/a,1.2,0.49,42,0.25,10,6.3,0.1,0.1,n/a,n/a,141,n/a,63,1.431,1.382,n/a,0.917,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4511,Finfish and Shellfish Products
15057,Fish， ocean perch， Atlantic， raw,鱼，海鲈，大西洋，原料,0,83.07,15.31,0,0,79,1.54,287,187,0.29,0.22,28,23,248,1.2,0,0.073,12,1.5,9,1.005,0.048,0.04,0.76,0.1,40,48,52,0.273,0.475,0.009,0.304,0,http://ndb.nal.usda.gov/ndb/foods/show/4512,Finfish and Shellfish Products
15058,Fish， ocean perch， Atlantic， cooked， dry heat,鱼，海鲈，大西洋，煮熟，干热,0,74.24,18.51,0,0,96,1.87,347,226,0.35,0.27,34,27,300,1.4,0,0.084,15,1.72,10,1.215,0.057,0.046,0.91,0.1,44,58,63,0.33,0.575,0.011,0.368,0,http://ndb.nal.usda.gov/ndb/foods/show/4513,Finfish and Shellfish Products
15059,Fish， pout， ocean， raw,鱼，噘嘴，海洋，生,0,81.36,16.64,n/a,0,79,0.91,61,400,1.03,0.28,10,13,200,n/a,0,0.24,12,0.9,7,2.1,0.06,0.08,n/a,n/a,40,n/a,52,0.32,0.329,n/a,0.032,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4514,Finfish and Shellfish Products
15060,Fish， perch， mixed species， raw,鱼，鲈鱼，混种，生,0,79.13,19.39,0,0,91,0.92,62,269,1.11,0.9,80,30,200,3,1.7,0.12,9,1.9,5,1.52,0.1,0.07,0.2,0.1,30,118,90,0.185,0.152,n/a,0.368,0,http://ndb.nal.usda.gov/ndb/foods/show/4515,Finfish and Shellfish Products
15061,Fish， perch， mixed species， cooked， dry heat,鱼，鲈鱼，混种，熟，干热,0,73.25,24.86,n/a,0,117,1.18,79,344,1.43,1.16,102,38,257,n/a,1.7,0.14,10,2.2,6,1.9,0.12,0.08,n/a,n/a,32,n/a,115,0.237,0.195,n/a,0.472,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4516,Finfish and Shellfish Products
15062,Fish， pike， northern， raw,鱼，狗鱼，北部，原料,0,78.92,19.26,0,0,88,0.69,39,259,0.67,0.55,57,31,220,2.5,3.8,0.117,21,2,15,2.3,0.063,0.058,0.2,0.1,70,99,39,0.118,0.157,n/a,0.202,0,http://ndb.nal.usda.gov/ndb/foods/show/4517,Finfish and Shellfish Products
15063,Fish， pike， northern， cooked， dry heat,鱼，狗鱼，北部，煮熟，干热,0,72.97,24.69,n/a,0,113,0.88,49,331,0.86,0.71,73,40,282,n/a,3.8,0.135,24,2.3,17,2.8,0.077,0.067,n/a,n/a,81,n/a,50,0.151,0.201,n/a,0.259,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4518,Finfish and Shellfish Products
15064,Fish， pike， walleye， raw,鱼，狗鱼，角膜白斑，生,0,79.31,19.14,n/a,0,93,1.22,51,389,0.62,1.3,110,30,210,n/a,0,0.12,21,2,15,2.3,0.16,0.27,n/a,n/a,70,n/a,86,0.249,0.294,n/a,0.447,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4519,Finfish and Shellfish Products
15065,Fish， pollock， Atlantic， raw,鱼，鳕鱼，大西洋，原料,0,78.18,19.44,0,0,92,0.98,86,356,0.47,0.46,60,67,221,1,0,0.287,14,3.19,3,3.27,0.185,0.047,0.23,0.1,46,42,71,0.135,0.112,n/a,0.483,0,http://ndb.nal.usda.gov/ndb/foods/show/4520,Finfish and Shellfish Products
15066,Fish， pollock， Alaska， raw,鱼，鳕鱼，阿拉斯加，生,0,86.75,12.19,0,0,56,0.41,333,160,0.31,0.22,15,16,284,0.2,0,0.069,3,1.63,3,0.653,0.08,0.03,0.49,0,10,8,46,0.124,0.079,0.016,0.195,0,http://ndb.nal.usda.gov/ndb/foods/show/4521,Finfish and Shellfish Products
15067,Fish， pollock， Alaska， cooked， dry heat,鱼，鳕鱼，阿拉斯加，煮熟，干热,0,73.65,23.48,0,0,111,1.18,419,430,0.57,0.56,72,81,267,1.3,0,0.329,17,3.66,3,3.949,0.223,0.054,0.28,0.1,51,51,86,0.159,0.134,n/a,0.583,0,http://ndb.nal.usda.gov/ndb/foods/show/4522,Finfish and Shellfish Products
15068,Fish， pompano， florida， raw,鱼，鲳，佛罗里达州，生,0,71.12,18.48,0,0,164,9.47,65,381,0.72,0.6,22,27,195,11,0,0.2,40,1.3,15,3,0.12,0.56,0.18,0.1,132,439,50,3.509,2.586,n/a,1.137,0,http://ndb.nal.usda.gov/ndb/foods/show/4523,Finfish and Shellfish Products
15069,Fish， pompano， florida， cooked， dry heat,鱼，鲳，佛罗里达州，煮熟，干热,0,62.97,23.69,n/a,0,211,12.14,76,636,0.69,0.67,43,31,341,n/a,0,0.23,36,1.2,17,3.8,0.15,0.68,n/a,n/a,120,n/a,64,4.499,3.315,n/a,1.458,n/a,http://ndb.nal.usda.gov/ndb/foods/show/4524,Finfish and Shellfish Products
